id,street_address,city,country,postal_code
87,Ap #955-5419 Sed Ave,Lasne-Chapelle-Saint-Lambert,United Kingdom (Great Britain),963520
88,Ap #993-6643 Duis Street,Bossut-Gottechain,Kazakhstan,91683
89,"P.O. Box 950, 7405 Lacus. St.",Kerkhove,Nauru,6776
90,134-6362 Nulla Road,Laces/Latsch,Serbia,50332
91,"P.O. Box 536, 2003 Pede. Avenue",San Leucio del Sannio,Sierra Leone,54170-613
92,4488 Mi Avenue,Rio nell'Elba,Papua New Guinea,9535
93,"P.O. Box 953, 1727 Magnis Ave",Reana del Rojale,Mauritius,9517
94,Ap #355-4512 Purus. Ave,Collecchio,Nicaragua,C7J 0Z4
95,Ap #974-365 Mattis Avenue,Santipur,Saint Kitts and Nevis,7958
96,675-3280 Ante St.,Oostmalle,Lebanon,7381KY
97,"P.O. Box 187, 6455 Blandit Rd.",Genzano di Lucania,United Arab Emirates,69966-180
98,"311-8098 Tempor, Road",Perth,Anguilla,42-128
99,362-4810 Eleifend Avenue,Zeebrugge,Micronesia,58128-845
100,"371-3276 Tempus, St.",Phoenix,Indonesia,528779
101,6679 Pellentesque St.,Vinci,Laos,X3B 7S9
102,934-5160 Auctor Av.,Sint-Gillis-Waas,Ireland,7304PV
103,"Ap #874-8332 Nec, St.",Bojano,Rwanda,51061
104,"P.O. Box 490, 1893 Commodo St.",Belfort,Botswana,TB68 3JL
105,"6585 Nec, St.",Nîmes,Solomon Islands,20917
106,Ap #675-1751 Metus. Ave,Paignton,Kenya,7637
